tarih,ürün_kodu,ürün_adi,kategori,fiyat,adet,toplam_satis,musteri_id
2023-02-03,P037,Klima,Kozmetik,962.52,13,12512.76,4437
2024-08-12,P024,Kulaklık,Giyim,337.3,8,2698.4,7497
2023-01-19,P013,Bilgisayar,Giyim,87.22,16,1395.52,2132
2023-06-17,P019,Kulaklık,Giyim,301.99,14,4227.860000000001,9526
2023-07-16,P051,Kulaklık,Kozmetik,1364.87,6,8189.219999999999,8900
2024-01-10,P057,Su Şişesi,Elektronik,898.53,18,16173.54,3902
2024-04-26,P067,Kulaklık,Ev Aletleri,1056.9,16,16910.4,3455
2023-06-10,P030,Klima,Kırtasiye,628.44,8,5027.52,4002
2024-01-12,P048,Kulaklık,Kozmetik,421.58,18,7588.44,3819
2024-06-11,P051,Fırın,Elektronik,671.85,7,4702.95,3515
2024-06-28,P067,Klima,Mutfak Ürünleri,48.36,3,145.07999999999998,3142
2023-12-06,P061,Bilgisayar,Elektronik,305.07,1,305.07,2865
2024-02-16,P039,Klima,Ev Aletleri,1186.05,11,13046.55,2325
2024-04-03,P081,Kulaklık,Kırtasiye,747.76,6,4486.56,6118
2023-01-09,P022,Defter,Giyim,431.57,10,4315.7,9871
2024-01-27,P100,Defter,Giyim,320.73,10,3207.3,4877
2023-08-11,P096,Mouse,Ev Aletleri,377.77,18,6799.86,1304
2023-01-28,P023,Kulaklık,Kırtasiye,619.29,17,10527.93,2458
2024-09-13,P040,Mouse,Kozmetik,130.55,9,1174.95,2402
2024-10-15,P063,Kalem,Elektronik,1403.81,5,7019.049999999999,5809
2024-04-27,P074,Çanta,Ev Aletleri,1007.39,17,17125.63,4441
2023-11-28,P008,Mouse,Kırtasiye,551.17,8,4409.36,3063
2024-03-12,P070,Fırın,Giyim,855.19,12,10262.28,8844
2023-08-08,P015,Klima,Kırtasiye,24.23,3,72.69,5596
2023-01-31,P049,Fırın,Kırtasiye,251.49,4,1005.96,2452
2024-01-08,P013,Su Şişesi,Ev Aletleri,517.5,13,6727.5,1307
2024-03-03,P025,Fırın,Giyim,547.24,4,2188.96,5863
2022-12-01,P031,Telefon,Kırtasiye,707.89,15,10618.35,9485
2023-12-18,P090,Fırın,Kırtasiye,454.66,15,6819.900000000001,9002
2024-02-19,P090,Klima,Kozmetik,1480.54,7,10363.78,4855
2023-12-24,P045,Klima,Ev Aletleri,530.16,14,7422.24,3358
2023-09-19,P080,Kulaklık,Giyim,1137.99,1,1137.99,6447
2023-08-16,P033,Kalem,Giyim,1269.85,13,16508.05,7751
2023-12-03,P027,Mouse,Kozmetik,782.3,9,7040.7,5798
2023-12-06,P039,Klima,Kırtasiye,551.27,8,4410.16,3684
2023-01-01,P092,Mouse,Giyim,889.29,2,1778.58,4414
2023-08-23,P047,Su Şişesi,Mutfak Ürünleri,1064.36,5,5321.799999999999,8411
2023-02-24,P057,Mouse,Elektronik,1204.46,1,1204.46,2662
2024-01-23,P027,Çanta,Elektronik,300.98,2,601.96,3748
2023-10-21,P071,Telefon,Mutfak Ürünleri,901.09,8,7208.72,5765
2024-03-03,P083,Telefon,Kozmetik,470.19,14,6582.66,1577
2024-01-22,P030,Su Şişesi,Elektronik,100.3,15,1504.5,3323
2024-10-04,P036,Fırın,Giyim,516.2,5,2581.0,4030
2023-05-27,P074,Fırın,Elektronik,320.56,3,961.68,5486
2023-08-01,P060,Çanta,Mutfak Ürünleri,597.41,14,8363.74,9282
2023-12-03,P039,Bilgisayar,Kırtasiye,1117.48,16,17879.68,9354
2023-08-24,P025,Telefon,Mutfak Ürünleri,154.83,14,2167.6200000000003,3050
2024-01-30,P064,Bilgisayar,Elektronik,1383.13,19,26279.47,1484
2023-04-22,P095,Kulaklık,Kozmetik,709.18,11,7800.98,2523
2023-01-21,P063,Klima,Kırtasiye,1312.88,16,21006.08,7139
2023-09-08,P080,Mouse,Ev Aletleri,1462.41,5,7312.05,9426
2023-07-08,P029,Kalem,Kırtasiye,32.18,2,64.36,9072
2024-06-08,P045,Çanta,Ev Aletleri,991.0,16,15856.0,7253
2023-10-15,P022,Klima,Kozmetik,1360.87,10,13608.7,9732
2023-12-22,P093,Kulaklık,Kozmetik,434.92,4,1739.68,1756
2023-10-11,P046,Mouse,Ev Aletleri,675.89,13,8786.57,7710
2023-05-15,P030,Fırın,Ev Aletleri,1297.88,6,7787.280000000001,1836
2023-12-18,P070,Su Şişesi,Elektronik,43.22,2,86.44,5360
2023-07-10,P073,Kalem,Elektronik,60.42,11,664.62,7083
2023-09-07,P085,Kalem,Kozmetik,41.66,3,124.98,8509
2023-02-01,P099,Fırın,Ev Aletleri,670.88,13,8721.44,5798
2023-06-12,P013,Telefon,Giyim,741.99,7,5193.93,3558
2023-01-12,P003,Klima,Elektronik,1228.14,3,3684.42,8889
2023-04-04,P099,Bilgisayar,Kırtasiye,1418.44,13,18439.72,5731
2023-03-18,P075,Telefon,Giyim,125.51,9,1129.59,8095
2023-10-08,P038,Defter,Giyim,1466.61,12,17599.32,9452
2024-10-24,P100,Bilgisayar,Ev Aletleri,205.53,6,1233.18,2367
2023-06-04,P041,Fırın,Giyim,1220.21,1,1220.21,1494
2023-06-01,P087,Bilgisayar,Kozmetik,1242.43,18,22363.74,4544
2024-04-19,P001,Kulaklık,Giyim,429.0,10,4290.0,5198
2023-04-11,P087,Mouse,Giyim,201.25,19,3823.75,2129
2022-12-09,P068,Kulaklık,Ev Aletleri,1066.05,2,2132.1,9500
2023-09-03,P088,Bilgisayar,Kırtasiye,73.74,16,1179.84,7155
2024-02-05,P052,Defter,Giyim,1054.46,15,15816.9,1907
2024-05-02,P082,Kulaklık,Giyim,430.98,19,8188.620000000001,9385
2023-11-22,P098,Bilgisayar,Mutfak Ürünleri,816.21,13,10610.73,5318
2024-05-23,P045,Kulaklık,Ev Aletleri,998.07,17,16967.190000000002,7021
2023-02-12,P012,Defter,Ev Aletleri,1170.6,16,18729.6,5209
2024-01-15,P004,Su Şişesi,Mutfak Ürünleri,928.07,11,10208.77,4986
2024-04-29,P084,Bilgisayar,Giyim,1109.56,3,3328.68,2312
2023-04-11,P083,Defter,Mutfak Ürünleri,771.8,12,9261.6,1499
2023-10-23,P009,Telefon,Mutfak Ürünleri,11.07,5,55.35,3111
2024-07-11,P099,Telefon,Kırtasiye,729.28,16,11668.48,9260
2024-03-31,P082,Kulaklık,Giyim,903.34,14,12646.76,3196
2023-01-08,P007,Çanta,Giyim,1182.59,17,20104.03,8024
2023-05-15,P082,Kulaklık,Giyim,621.7,5,3108.5,1431
2024-02-10,P004,Kulaklık,Kozmetik,873.05,5,4365.25,7423
2024-07-05,P061,Çanta,Kozmetik,603.99,9,5435.91,7530
2022-11-10,P057,Su Şişesi,Kozmetik,549.64,12,6595.68,9880
2024-02-17,P053,Fırın,Kırtasiye,771.44,16,12343.04,8915
2023-07-09,P020,Çanta,Elektronik,1180.98,4,4723.92,6258
2023-05-13,P025,Su Şişesi,Kozmetik,671.2,15,10068.0,3955
2023-02-11,P075,Kulaklık,Elektronik,1010.34,7,7072.38,6863
2023-01-06,P047,Defter,Mutfak Ürünleri,283.44,9,2550.96,2661
2023-08-18,P050,Bilgisayar,Kozmetik,260.59,9,2345.31,6123
2023-01-14,P011,Fırın,Kırtasiye,248.75,9,2238.75,8900
2024-10-11,P063,Bilgisayar,Kozmetik,388.0,14,5432.0,5619
2024-07-03,P048,Klima,Elektronik,614.08,15,9211.2,7152
2022-12-25,P045,Telefon,Giyim,23.75,4,95.0,3393
2023-12-19,P044,Kalem,Ev Aletleri,291.36,4,1165.44,2535
2023-05-24,P091,Mouse,Giyim,177.89,6,1067.34,4741
2024-03-27,P049,Kalem,Kırtasiye,280.37,19,5327.03,2619
2024-05-18,P054,Defter,Mutfak Ürünleri,23.59,6,141.54,5760
2024-03-23,P047,Su Şişesi,Kırtasiye,1119.64,11,12316.04,1167
2022-11-29,P073,Bilgisayar,Kırtasiye,345.03,1,345.03,1960
2024-02-13,P087,Bilgisayar,Elektronik,980.43,15,14706.45,9519
2024-04-15,P025,Fırın,Ev Aletleri,894.77,19,17000.63,2870
2023-07-07,P059,Defter,Mutfak Ürünleri,975.47,6,5852.82,6443
2023-03-06,P080,Telefon,Giyim,711.34,13,9247.42,6202
2023-06-12,P025,Telefon,Kırtasiye,813.43,15,12201.45,2662
2024-07-09,P079,Klima,Giyim,131.65,6,789.9000000000001,9178
2024-08-14,P044,Su Şişesi,Elektronik,978.69,17,16637.73,5645
2024-02-21,P012,Telefon,Kırtasiye,813.57,2,1627.14,3706
2023-10-13,P073,Kulaklık,Mutfak Ürünleri,426.3,4,1705.2,8188
2024-02-14,P051,Su Şişesi,Kırtasiye,1403.12,4,5612.48,1981
2023-11-27,P074,Klima,Mutfak Ürünleri,133.38,8,1067.04,4465
2024-10-26,P080,Çanta,Elektronik,192.07,17,3265.19,5164
2023-05-18,P070,Klima,Giyim,7.35,13,95.55,6741
2023-09-29,P023,Kulaklık,Elektronik,537.13,11,5908.43,6533
2023-07-02,P043,Bilgisayar,Ev Aletleri,1102.28,3,3306.84,5735
2023-05-27,P093,Bilgisayar,Kırtasiye,25.79,15,386.85,4869
2023-12-13,P097,Mouse,Kırtasiye,122.66,15,1839.9,2217
2024-08-09,P092,Kalem,Elektronik,1004.66,1,1004.66,4310
2023-02-12,P035,Mouse,Giyim,528.21,8,4225.68,6671
2023-12-13,P097,Mouse,Elektronik,180.98,4,723.92,4263
2024-08-20,P032,Çanta,Kırtasiye,20.13,7,140.91,8586
2023-07-12,P088,Telefon,Kırtasiye,418.85,16,6701.6,7138
2023-09-23,P063,Su Şişesi,Kırtasiye,799.32,5,3996.6,3486
2023-09-02,P024,Kulaklık,Kırtasiye,155.58,10,1555.8000000000002,2333
2024-09-05,P076,Kulaklık,Mutfak Ürünleri,959.75,2,1919.5,9826
2024-05-16,P097,Mouse,Elektronik,565.78,5,2828.9,7147
2023-10-25,P096,Çanta,Kozmetik,1438.84,13,18704.92,5627
2023-01-07,P050,Çanta,Mutfak Ürünleri,840.93,15,12613.95,2262
2023-09-12,P042,Kalem,Kozmetik,571.47,13,7429.110000000001,7509
2024-10-14,P014,Klima,Giyim,17.45,18,314.1,9520
2023-12-12,P047,Defter,Ev Aletleri,965.26,11,10617.86,3092
2023-04-17,P032,Defter,Giyim,1184.11,9,10656.99,9880
2024-06-01,P025,Klima,Mutfak Ürünleri,126.77,8,1014.16,4272
2024-04-03,P049,Mouse,Elektronik,281.06,5,1405.3,6305
2023-03-23,P032,Telefon,Kozmetik,7.89,13,102.57,6298
2023-01-24,P014,Telefon,Mutfak Ürünleri,440.0,14,6160.0,3049
2024-07-23,P045,Kulaklık,Ev Aletleri,546.44,18,9835.920000000002,7380
2023-08-29,P059,Çanta,Mutfak Ürünleri,1392.59,9,12533.31,6477
2022-11-30,P075,Fırın,Kozmetik,1307.11,2,2614.22,6762
2024-10-04,P014,Defter,Giyim,62.92,9,566.28,4474
2024-05-05,P080,Klima,Giyim,59.36,19,1127.84,6027
2023-07-25,P079,Fırın,Elektronik,1440.2,17,24483.4,9921
2024-08-05,P067,Kalem,Giyim,104.18,8,833.44,4753
2024-05-07,P075,Su Şişesi,Ev Aletleri,905.86,12,10870.32,5643
2024-08-08,P097,Telefon,Ev Aletleri,688.41,5,3442.05,1943
2024-04-24,P010,Kulaklık,Mutfak Ürünleri,1122.45,18,20204.1,6491
2024-05-08,P049,Kalem,Ev Aletleri,389.72,9,3507.4800000000005,9634
2023-08-20,P087,Çanta,Elektronik,683.63,19,12988.97,8437
2024-01-24,P083,Su Şişesi,Mutfak Ürünleri,759.91,5,3799.55,7427
2024-02-29,P098,Klima,Giyim,57.42,12,689.04,4598
2023-08-04,P077,Fırın,Mutfak Ürünleri,847.28,12,10167.36,9083
2023-04-03,P012,Kalem,Kozmetik,1303.79,1,1303.79,5831
2024-06-17,P007,Fırın,Kozmetik,880.55,17,14969.35,7028
2024-03-22,P072,Klima,Mutfak Ürünleri,865.5,16,13848.0,1059
2024-05-29,P034,Kalem,Kırtasiye,110.03,3,330.09000000000003,6923
2024-06-24,P060,Defter,Kırtasiye,102.92,4,411.68,8570
2024-06-16,P084,Çanta,Elektronik,238.69,10,2386.9,1587
2023-11-08,P028,Kalem,Ev Aletleri,973.35,12,11680.2,9386
2024-02-15,P028,Fırın,Giyim,1498.49,11,16483.39,2856
2023-10-25,P004,Kalem,Mutfak Ürünleri,560.16,7,3921.12,8448
2024-05-15,P051,Fırın,Kozmetik,643.89,16,10302.24,2111
2023-06-16,P055,Telefon,Elektronik,149.73,15,2245.95,9890
2024-10-02,P076,Çanta,Ev Aletleri,956.26,7,6693.82,9469
2022-11-18,P050,Telefon,Kırtasiye,966.9,10,9669.0,1577
2024-07-20,P092,Fırın,Giyim,273.6,5,1368.0,2214
2022-12-09,P048,Bilgisayar,Elektronik,637.19,6,3823.14,2515
2024-09-09,P048,Telefon,Ev Aletleri,59.96,10,599.6,3406
2023-09-13,P039,Mouse,Kırtasiye,11.69,12,140.28,7541
2024-02-22,P098,Fırın,Elektronik,1392.03,10,13920.3,4587
2024-02-09,P097,Çanta,Mutfak Ürünleri,1373.56,1,1373.56,5012
2023-07-16,P059,Kulaklık,Ev Aletleri,573.58,2,1147.16,5901
2024-03-24,P041,Kulaklık,Kırtasiye,499.96,14,6999.44,5381
2024-06-19,P015,Su Şişesi,Mutfak Ürünleri,676.85,3,2030.55,8753
2024-07-11,P096,Mouse,Kırtasiye,70.56,3,211.68,7550
2024-04-13,P021,Bilgisayar,Giyim,350.31,7,2452.17,8755
2023-11-02,P010,Bilgisayar,Giyim,505.93,17,8600.81,2464
2024-02-10,P030,Su Şişesi,Kozmetik,1107.06,13,14391.78,6266
2024-08-18,P045,Mouse,Ev Aletleri,966.57,10,9665.7,7958
2024-04-24,P011,Klima,Kozmetik,34.7,12,416.4,1045
2023-03-27,P092,Mouse,Ev Aletleri,388.54,5,1942.7,7591
2023-02-21,P063,Kalem,Kozmetik,52.71,12,632.52,3795
2023-06-16,P063,Defter,Giyim,732.4,15,10986.0,3595
2024-01-21,P016,Çanta,Giyim,223.7,13,2908.1,1797
2024-01-05,P069,Klima,Kırtasiye,1134.04,11,12474.44,8970
2024-10-13,P037,Defter,Giyim,604.93,12,7259.16,7469
2024-08-21,P077,Klima,Kozmetik,767.97,9,6911.7300000000005,2941
2023-06-23,P076,Klima,Kozmetik,471.12,3,1413.36,1748
2024-04-25,P099,Mouse,Mutfak Ürünleri,535.47,8,4283.76,1797
2023-08-23,P076,Klima,Kırtasiye,335.95,9,3023.55,9049
2024-06-26,P034,Bilgisayar,Kırtasiye,1394.74,18,25105.32,7289
2024-06-15,P079,Bilgisayar,Ev Aletleri,451.42,17,7674.14,8939
2023-09-03,P082,Kulaklık,Kozmetik,847.18,13,11013.34,7162
2024-07-26,P076,Klima,Kozmetik,409.59,2,819.18,6182
2024-08-16,P082,Klima,Kırtasiye,888.56,11,9774.16,2735
2023-09-29,P034,Mouse,Elektronik,736.02,10,7360.2,4763
2024-01-26,P059,Mouse,Ev Aletleri,1275.01,11,14025.11,2520
2023-09-10,P094,Fırın,Ev Aletleri,647.87,13,8422.31,5071
2024-09-12,P096,Fırın,Kırtasiye,854.78,11,9402.58,6396
2022-12-21,P072,Fırın,Mutfak Ürünleri,1391.57,2,2783.14,7277
2023-06-21,P043,Mouse,Mutfak Ürünleri,1045.73,8,8365.84,2496
2024-04-21,P095,Kalem,Elektronik,992.7,19,18861.3,6500
2023-12-05,P077,Fırın,Kırtasiye,849.93,19,16148.669999999998,2753
2024-10-20,P063,Kalem,Elektronik,467.93,11,5147.2300000000005,8525
2023-10-04,P026,Su Şişesi,Elektronik,676.37,12,8116.44,8220
2023-07-02,P094,Telefon,Kırtasiye,439.91,15,6598.650000000001,1511
2023-07-09,P042,Su Şişesi,Giyim,1118.34,13,14538.419999999998,6868
2022-12-06,P039,Fırın,Kırtasiye,66.23,13,860.99,8712
2023-04-14,P038,Su Şişesi,Giyim,1177.55,4,4710.2,7643
2023-04-08,P033,Kulaklık,Kozmetik,508.06,16,8128.96,5779
2024-02-07,P077,Telefon,Giyim,601.66,11,6618.259999999999,6663
2023-04-25,P005,Fırın,Kırtasiye,1030.43,4,4121.72,8476
2023-05-18,P057,Kulaklık,Elektronik,1229.95,7,8609.65,3577
2024-10-07,P026,Su Şişesi,Kozmetik,800.56,9,7205.039999999999,1051
2023-01-18,P097,Telefon,Ev Aletleri,1115.41,1,1115.41,4769
2023-04-04,P072,Bilgisayar,Mutfak Ürünleri,1485.07,7,10395.49,2027
2023-02-12,P035,Klima,Mutfak Ürünleri,221.92,19,4216.48,4710
2024-10-07,P072,Bilgisayar,Kırtasiye,918.39,9,8265.51,9357
2023-03-28,P021,Fırın,Giyim,1033.52,13,13435.76,8019
2023-04-12,P075,Bilgisayar,Kozmetik,557.29,8,4458.32,8562
2022-12-09,P045,Su Şişesi,Kozmetik,1029.24,2,2058.48,5579
2023-07-22,P071,Klima,Elektronik,1446.45,15,21696.75,3790
2024-04-25,P043,Kalem,Mutfak Ürünleri,662.13,15,9931.95,9049
2024-07-01,P046,Klima,Giyim,760.55,19,14450.45,6138
2024-03-14,P034,Fırın,Kırtasiye,417.22,7,2920.54,9502
2024-09-23,P016,Telefon,Mutfak Ürünleri,840.51,9,7564.59,2615
2022-11-12,P055,Defter,Kozmetik,700.77,6,4204.62,8121
2023-02-08,P042,Kalem,Kozmetik,632.73,19,12021.87,9289
2022-11-21,P030,Fırın,Ev Aletleri,244.01,13,3172.13,2957
2023-07-03,P096,Bilgisayar,Ev Aletleri,1497.16,4,5988.64,6738
2024-08-21,P028,Defter,Mutfak Ürünleri,982.28,19,18663.32,3070
2023-09-01,P042,Kalem,Kozmetik,783.31,12,9399.72,6951
2024-05-11,P094,Mouse,Ev Aletleri,419.3,3,1257.9,5595
2023-05-26,P073,Çanta,Elektronik,1095.76,11,12053.36,7872
2023-05-01,P056,Klima,Giyim,807.62,16,12921.92,5122
2024-04-05,P008,Su Şişesi,Kırtasiye,477.7,11,5254.7,8268
2024-04-30,P050,Su Şişesi,Elektronik,306.56,13,3985.28,1974
2024-05-11,P075,Klima,Kırtasiye,794.16,15,11912.4,1687
2024-04-24,P028,Mouse,Kırtasiye,432.63,3,1297.89,6221
2023-02-12,P022,Klima,Kozmetik,869.96,11,9569.56,3392
2023-08-14,P096,Su Şişesi,Kırtasiye,1171.18,6,7027.08,6546
2023-10-09,P016,Çanta,Giyim,370.52,16,5928.32,2880
2023-08-23,P057,Kulaklık,Kırtasiye,804.49,9,7240.41,7492
2024-02-12,P009,Klima,Elektronik,1456.47,11,16021.17,4663
2024-08-21,P078,Çanta,Giyim,1414.8,2,2829.6,2824
2024-05-02,P011,Çanta,Kozmetik,193.43,1,193.43,8049
2024-09-20,P001,Bilgisayar,Kozmetik,742.19,1,742.19,8836
2024-08-12,P017,Kalem,Mutfak Ürünleri,904.76,17,15380.92,9271
2023-08-28,P025,Defter,Elektronik,256.08,3,768.24,4160
2022-12-03,P020,Kalem,Giyim,402.59,18,7246.62,4372
2024-04-14,P033,Kalem,Kırtasiye,18.35,5,91.75,1223
2023-08-18,P084,Bilgisayar,Ev Aletleri,1151.99,5,5759.95,8536
2024-04-17,P011,Su Şişesi,Kırtasiye,986.3,6,5917.799999999999,5872
2023-09-27,P008,Fırın,Elektronik,804.96,6,4829.76,7747
2024-08-01,P083,Fırın,Ev Aletleri,921.95,17,15673.15,6813
2024-08-05,P002,Çanta,Giyim,757.53,19,14393.07,6749
2023-10-09,P077,Su Şişesi,Kırtasiye,210.82,12,2529.84,8070
2023-03-12,P056,Klima,Giyim,1244.19,11,13686.09,5029
2024-04-20,P015,Klima,Elektronik,110.02,2,220.04,6816
2022-11-24,P024,Kalem,Mutfak Ürünleri,1369.76,10,13697.6,4088
2024-01-17,P045,Kulaklık,Mutfak Ürünleri,564.1,6,3384.6000000000004,8570
2022-12-01,P037,Kalem,Mutfak Ürünleri,947.41,7,6631.87,3593
2024-08-18,P091,Mouse,Giyim,1140.35,5,5701.75,9473
2023-05-28,P063,Su Şişesi,Ev Aletleri,445.52,3,1336.56,7894
2024-05-30,P059,Telefon,Kozmetik,561.13,16,8978.08,2608
2024-04-15,P005,Klima,Kozmetik,583.67,13,7587.709999999999,5056
2024-03-16,P087,Kulaklık,Ev Aletleri,293.57,13,3816.41,9528
2023-09-26,P031,Kalem,Ev Aletleri,425.11,18,7651.98,3049
2023-12-30,P084,Telefon,Giyim,1379.75,7,9658.25,9062
2023-05-03,P011,Bilgisayar,Giyim,1043.33,17,17736.61,5195
2022-11-27,P073,Defter,Kırtasiye,1266.61,13,16465.93,7999
2023-10-09,P078,Kulaklık,Kırtasiye,248.6,12,2983.2,4103
2024-10-24,P093,Çanta,Giyim,1482.66,8,11861.28,1387
2024-10-01,P090,Çanta,Giyim,641.84,10,6418.400000000001,9714
2024-07-08,P094,Kulaklık,Elektronik,925.87,2,1851.74,3928
2024-10-21,P025,Kulaklık,Kozmetik,480.55,14,6727.7,8347
2024-01-17,P024,Mouse,Elektronik,867.79,16,13884.64,7376
2024-09-30,P066,Klima,Mutfak Ürünleri,423.71,15,6355.65,6837
2023-02-10,P089,Kalem,Giyim,465.66,1,465.66,7860
2022-11-21,P023,Telefon,Mutfak Ürünleri,803.66,6,4821.96,3224
2022-12-31,P067,Kulaklık,Giyim,1051.83,4,4207.32,8057
2023-07-14,P049,Bilgisayar,Ev Aletleri,698.46,17,11873.82,7082
2023-10-22,P020,Mouse,Mutfak Ürünleri,858.1,2,1716.2,9519
2024-03-06,P063,Telefon,Mutfak Ürünleri,815.84,2,1631.68,9906
2024-07-14,P004,Telefon,Giyim,1097.52,7,7682.639999999999,6011
2024-10-27,P046,Çanta,Elektronik,77.99,13,1013.87,4561
